date,dataset_id,name,schema_slug,schema_version,file_url,report_url,nb_rows,nb_errors,nb_rows_with_errors,errors_report
2020-04-16,5d6eaffc8b4c417cdc452ac3,Base nationale consolidée des lieux de covoiturage,etalab/schema-lieux-covoiturage,0.1.2,https://static.data.gouv.fr/resources/base-nationale-consolidee-des-lieux-de-covoiturage/20200416-124610/20200416-bnclc.csv,https://go.validata.fr/table-schema?input=url&schema_url=https://schema.data.gouv.fr/schemas/etalab/schema-lieux-covoiturage/0.1.2/schema.json&url=https://static.data.gouv.fr/resources/base-nationale-consolidee-des-lieux-de-covoiturage/20200416-124610/20200416-bnclc.csv&repair=true,2362,9262,2361,"{""structure-errors"": {""count"": 3, ""count-by-code"": {""blank-header"": 3}}, ""value-errors"": {""count"": 9259, ""rows-count"": 2361, ""count-by-code"": {""pattern-constraint"": 2226, ""type-or-format-error"": 4762, ""enumerable-constraint"": 1083, ""maximum-constraint"": 1078, ""required-constraint"": 108, ""unique-constraint"": 2}, ""count-by-col-and-code"": {""insee"": {""pattern-constraint"": 1141, ""required-constraint"": 60}, ""date_maj"": {""type-or-format-error"": 2354, ""required-constraint"": 7}, ""type"": {""enumerable-constraint"": 1083, ""required-constraint"": 8}, ""ouvert"": {""type-or-format-error"": 1082, ""required-constraint"": 9}, ""source"": {""pattern-constraint"": 1081, ""required-constraint"": 4}, ""Xlong"": {""type-or-format-error"": 45, ""maximum-constraint"": 1036, ""required-constraint"": 8}, ""Ylat"": {""maximum-constraint"": 42, ""type-or-format-error"": 3, ""required-constraint"": 8}, ""nbre_pl"": {""type-or-format-error"": 1078}, ""nbre_pmr"": {""type-or-format-error"": 45}, ""lumiere"": {""type-or-format-error"": 152}, ""duree"": {""type-or-format-error"": 3}, ""id_lieu"": {""pattern-constraint"": 4, ""unique-constraint"": 2}, ""nom_lieu"": {""required-constraint"": 4}}}, ""count"": 9262}"
2020-04-16,5448d3e0c751df01f85d0572,Fichier consolidé des Bornes de Recharge pour Véhicules Électriques,etalab/schema-irve,1.0.2,https://static.data.gouv.fr/resources/fichier-consolide-des-bornes-de-recharge-pour-vehicules-electriques/20200320-224347/bornes-irve-20200320.csv,https://go.validata.fr/table-schema?input=url&schema_url=https://schema.data.gouv.fr/schemas/etalab/schema-irve/1.0.2/schema.json&url=https://static.data.gouv.fr/resources/fichier-consolide-des-bornes-de-recharge-pour-vehicules-electriques/20200320-224347/bornes-irve-20200320.csv&repair=true,11123,8669,5303,"{""structure-errors"": {""count"": 1, ""count-by-code"": {""extra-header"": 1}}, ""value-errors"": {""count"": 8668, ""rows-count"": 5303, ""count-by-code"": {""required-constraint"": 7532, ""type-or-format-error"": 572, ""pattern-constraint"": 564}, ""count-by-col-and-code"": {""code_insee"": {""required-constraint"": 917, ""pattern-constraint"": 564}, ""puiss_max"": {""type-or-format-error"": 553}, ""n_enseigne"": {""required-constraint"": 397}, ""id_station"": {""required-constraint"": 446}, ""observations"": {""required-constraint"": 3532}, ""nbre_pdc"": {""required-constraint"": 1671}, ""Xlongitude"": {""required-constraint"": 2, ""type-or-format-error"": 10}, ""Ylatitude"": {""required-constraint"": 2, ""type-or-format-error"": 9}, ""acces_recharge"": {""required-constraint"": 3}, ""accessibilit\u00e9"": {""required-constraint"": 560}, ""n_station"": {""required-constraint"": 2}}}, ""count"": 8669}"
2020-04-17,5d6eaffc8b4c417cdc452ac3,Base nationale consolidée des lieux de covoiturage,etalab/schema-lieux-covoiturage,0.1.2,https://static.data.gouv.fr/resources/base-nationale-consolidee-des-lieux-de-covoiturage/20200417-130933/base-bnclc.ok.csv,https://go.validata.fr/table-schema?input=url&schema_url=https://schema.data.gouv.fr/schemas/etalab/schema-lieux-covoiturage/0.1.2/schema.json&url=https://static.data.gouv.fr/resources/base-nationale-consolidee-des-lieux-de-covoiturage/20200417-130933/base-bnclc.ok.csv&repair=true,2360,81,69,"{""structure-errors"": {""count"": 2, ""count-by-code"": {""blank-header"": 2}}, ""value-errors"": {""count"": 79, ""rows-count"": 69, ""count-by-code"": {""required-constraint"": 78, ""type-or-format-error"": 1}, ""count-by-col-and-code"": {""insee"": {""required-constraint"": 60}, ""Xlong"": {""required-constraint"": 9}, ""Ylat"": {""required-constraint"": 9}, ""lumiere"": {""type-or-format-error"": 1}}}, ""count"": 81}"
2020-04-17,5448d3e0c751df01f85d0572,Fichier consolidé des Bornes de Recharge pour Véhicules Électriques,etalab/schema-irve,1.0.2,https://static.data.gouv.fr/resources/fichier-consolide-des-bornes-de-recharge-pour-vehicules-electriques/20200320-224347/bornes-irve-20200320.csv,https://go.validata.fr/table-schema?input=url&schema_url=https://schema.data.gouv.fr/schemas/etalab/schema-irve/1.0.2/schema.json&url=https://static.data.gouv.fr/resources/fichier-consolide-des-bornes-de-recharge-pour-vehicules-electriques/20200320-224347/bornes-irve-20200320.csv&repair=true,11123,8669,5303,"{""structure-errors"": {""count"": 1, ""count-by-code"": {""extra-header"": 1}}, ""value-errors"": {""count"": 8668, ""rows-count"": 5303, ""count-by-code"": {""required-constraint"": 7532, ""type-or-format-error"": 572, ""pattern-constraint"": 564}, ""count-by-col-and-code"": {""code_insee"": {""required-constraint"": 917, ""pattern-constraint"": 564}, ""puiss_max"": {""type-or-format-error"": 553}, ""n_enseigne"": {""required-constraint"": 397}, ""id_station"": {""required-constraint"": 446}, ""observations"": {""required-constraint"": 3532}, ""nbre_pdc"": {""required-constraint"": 1671}, ""Xlongitude"": {""required-constraint"": 2, ""type-or-format-error"": 10}, ""Ylatitude"": {""required-constraint"": 2, ""type-or-format-error"": 9}, ""acces_recharge"": {""required-constraint"": 3}, ""accessibilit\u00e9"": {""required-constraint"": 560}, ""n_station"": {""required-constraint"": 2}}}, ""count"": 8669}"
2020-04-18,5d6eaffc8b4c417cdc452ac3,Base nationale consolidée des lieux de covoiturage,etalab/schema-lieux-covoiturage,0.1.2,https://static.data.gouv.fr/resources/base-nationale-consolidee-des-lieux-de-covoiturage/20200417-130933/base-bnclc.ok.csv,https://go.validata.fr/table-schema?input=url&schema_url=https://schema.data.gouv.fr/schemas/etalab/schema-lieux-covoiturage/0.1.2/schema.json&url=https://static.data.gouv.fr/resources/base-nationale-consolidee-des-lieux-de-covoiturage/20200417-130933/base-bnclc.ok.csv&repair=true,2360,81,69,"{""structure-errors"": {""count"": 2, ""count-by-code"": {""blank-header"": 2}}, ""value-errors"": {""count"": 79, ""rows-count"": 69, ""count-by-code"": {""required-constraint"": 78, ""type-or-format-error"": 1}, ""count-by-col-and-code"": {""insee"": {""required-constraint"": 60}, ""Xlong"": {""required-constraint"": 9}, ""Ylat"": {""required-constraint"": 9}, ""lumiere"": {""type-or-format-error"": 1}}}, ""count"": 81}"
2020-04-18,5448d3e0c751df01f85d0572,Fichier consolidé des Bornes de Recharge pour Véhicules Électriques,etalab/schema-irve,1.0.2,https://static.data.gouv.fr/resources/fichier-consolide-des-bornes-de-recharge-pour-vehicules-electriques/20200320-224347/bornes-irve-20200320.csv,https://go.validata.fr/table-schema?input=url&schema_url=https://schema.data.gouv.fr/schemas/etalab/schema-irve/1.0.2/schema.json&url=https://static.data.gouv.fr/resources/fichier-consolide-des-bornes-de-recharge-pour-vehicules-electriques/20200320-224347/bornes-irve-20200320.csv&repair=true,11123,8669,5303,"{""structure-errors"": {""count"": 1, ""count-by-code"": {""extra-header"": 1}}, ""value-errors"": {""count"": 8668, ""rows-count"": 5303, ""count-by-code"": {""required-constraint"": 7532, ""type-or-format-error"": 572, ""pattern-constraint"": 564}, ""count-by-col-and-code"": {""code_insee"": {""required-constraint"": 917, ""pattern-constraint"": 564}, ""puiss_max"": {""type-or-format-error"": 553}, ""n_enseigne"": {""required-constraint"": 397}, ""id_station"": {""required-constraint"": 446}, ""observations"": {""required-constraint"": 3532}, ""nbre_pdc"": {""required-constraint"": 1671}, ""Xlongitude"": {""required-constraint"": 2, ""type-or-format-error"": 10}, ""Ylatitude"": {""required-constraint"": 2, ""type-or-format-error"": 9}, ""acces_recharge"": {""required-constraint"": 3}, ""accessibilit\u00e9"": {""required-constraint"": 560}, ""n_station"": {""required-constraint"": 2}}}, ""count"": 8669}"
2020-04-19,5d6eaffc8b4c417cdc452ac3,Base nationale consolidée des lieux de covoiturage,etalab/schema-lieux-covoiturage,0.1.2,https://static.data.gouv.fr/resources/base-nationale-consolidee-des-lieux-de-covoiturage/20200417-130933/base-bnclc.ok.csv,https://go.validata.fr/table-schema?input=url&schema_url=https://schema.data.gouv.fr/schemas/etalab/schema-lieux-covoiturage/0.1.2/schema.json&url=https://static.data.gouv.fr/resources/base-nationale-consolidee-des-lieux-de-covoiturage/20200417-130933/base-bnclc.ok.csv&repair=true,2360,81,69,"{""structure-errors"": {""count"": 2, ""count-by-code"": {""blank-header"": 2}}, ""value-errors"": {""count"": 79, ""rows-count"": 69, ""count-by-code"": {""required-constraint"": 78, ""type-or-format-error"": 1}, ""count-by-col-and-code"": {""insee"": {""required-constraint"": 60}, ""Xlong"": {""required-constraint"": 9}, ""Ylat"": {""required-constraint"": 9}, ""lumiere"": {""type-or-format-error"": 1}}}, ""count"": 81}"
2020-04-19,5448d3e0c751df01f85d0572,Fichier consolidé des Bornes de Recharge pour Véhicules Électriques,etalab/schema-irve,1.0.2,https://static.data.gouv.fr/resources/fichier-consolide-des-bornes-de-recharge-pour-vehicules-electriques/20200320-224347/bornes-irve-20200320.csv,https://go.validata.fr/table-schema?input=url&schema_url=https://schema.data.gouv.fr/schemas/etalab/schema-irve/1.0.2/schema.json&url=https://static.data.gouv.fr/resources/fichier-consolide-des-bornes-de-recharge-pour-vehicules-electriques/20200320-224347/bornes-irve-20200320.csv&repair=true,11123,8669,5303,"{""structure-errors"": {""count"": 1, ""count-by-code"": {""extra-header"": 1}}, ""value-errors"": {""count"": 8668, ""rows-count"": 5303, ""count-by-code"": {""required-constraint"": 7532, ""type-or-format-error"": 572, ""pattern-constraint"": 564}, ""count-by-col-and-code"": {""code_insee"": {""required-constraint"": 917, ""pattern-constraint"": 564}, ""puiss_max"": {""type-or-format-error"": 553}, ""n_enseigne"": {""required-constraint"": 397}, ""id_station"": {""required-constraint"": 446}, ""observations"": {""required-constraint"": 3532}, ""nbre_pdc"": {""required-constraint"": 1671}, ""Xlongitude"": {""required-constraint"": 2, ""type-or-format-error"": 10}, ""Ylatitude"": {""required-constraint"": 2, ""type-or-format-error"": 9}, ""acces_recharge"": {""required-constraint"": 3}, ""accessibilit\u00e9"": {""required-constraint"": 560}, ""n_station"": {""required-constraint"": 2}}}, ""count"": 8669}"
2020-04-20,5d6eaffc8b4c417cdc452ac3,Base nationale consolidée des lieux de covoiturage,etalab/schema-lieux-covoiturage,0.1.2,https://static.data.gouv.fr/resources/base-nationale-consolidee-des-lieux-de-covoiturage/20200417-130933/base-bnclc.ok.csv,https://go.validata.fr/table-schema?input=url&schema_url=https://schema.data.gouv.fr/schemas/etalab/schema-lieux-covoiturage/0.1.2/schema.json&url=https://static.data.gouv.fr/resources/base-nationale-consolidee-des-lieux-de-covoiturage/20200417-130933/base-bnclc.ok.csv&repair=true,2360,81,69,"{""structure-errors"": {""count"": 2, ""count-by-code"": {""blank-header"": 2}}, ""value-errors"": {""count"": 79, ""rows-count"": 69, ""count-by-code"": {""required-constraint"": 78, ""type-or-format-error"": 1}, ""count-by-col-and-code"": {""insee"": {""required-constraint"": 60}, ""Xlong"": {""required-constraint"": 9}, ""Ylat"": {""required-constraint"": 9}, ""lumiere"": {""type-or-format-error"": 1}}}, ""count"": 81}"
2020-04-20,5448d3e0c751df01f85d0572,Fichier consolidé des Bornes de Recharge pour Véhicules Électriques,etalab/schema-irve,1.0.2,https://static.data.gouv.fr/resources/fichier-consolide-des-bornes-de-recharge-pour-vehicules-electriques/20200320-224347/bornes-irve-20200320.csv,https://go.validata.fr/table-schema?input=url&schema_url=https://schema.data.gouv.fr/schemas/etalab/schema-irve/1.0.2/schema.json&url=https://static.data.gouv.fr/resources/fichier-consolide-des-bornes-de-recharge-pour-vehicules-electriques/20200320-224347/bornes-irve-20200320.csv&repair=true,11123,8669,5303,"{""structure-errors"": {""count"": 1, ""count-by-code"": {""extra-header"": 1}}, ""value-errors"": {""count"": 8668, ""rows-count"": 5303, ""count-by-code"": {""required-constraint"": 7532, ""type-or-format-error"": 572, ""pattern-constraint"": 564}, ""count-by-col-and-code"": {""code_insee"": {""required-constraint"": 917, ""pattern-constraint"": 564}, ""puiss_max"": {""type-or-format-error"": 553}, ""n_enseigne"": {""required-constraint"": 397}, ""id_station"": {""required-constraint"": 446}, ""observations"": {""required-constraint"": 3532}, ""nbre_pdc"": {""required-constraint"": 1671}, ""Xlongitude"": {""required-constraint"": 2, ""type-or-format-error"": 10}, ""Ylatitude"": {""required-constraint"": 2, ""type-or-format-error"": 9}, ""acces_recharge"": {""required-constraint"": 3}, ""accessibilit\u00e9"": {""required-constraint"": 560}, ""n_station"": {""required-constraint"": 2}}}, ""count"": 8669}"
